Port_Record_ID,Port_ID,Port_Name,Country,Region,Terminal,Berth
PR00064,P001,Chennai,India,South Asia,Terminal-4,Berth-10
PR00065,P002,Mumbai,India,South Asia,Terminal-1,Berth-11
PR00066,P003,Singapore,Singapore,Southeast Asia,Terminal-2,Berth-12
PR00067,P004,Dubai,UAE,Middle East,Terminal-3,Berth-13
PR00068,P005,Colombo,Sri Lanka,South Asia,Terminal-4,Berth-14
PR00069,P006,Rotterdam,Netherlands,Europe,Terminal-1,Berth-15
PR00070,P007,Los Angeles,USA,North America,Terminal-2,Berth-16
PR00071,P001,Chennai,India,South Asia,Terminal-3,Berth-17
PR00072,P002,Mumbai,India,South Asia,Terminal-4,Berth-18
PR00073,P003,Singapore,Singapore,Southeast Asia,Terminal-1,Berth-1
PR00074,P004,Dubai,UAE,Middle East,Terminal-2,Berth-2
PR00075,P005,Colombo,Sri Lanka,South Asia,Terminal-3,Berth-3
PR00076,P006,Rotterdam,Netherlands,Europe,Terminal-4,Berth-4
PR00077,P007,Los Angeles,USA,North America,Terminal-1,Berth-5
PR00078,P001,Chennai,India,South Asia,Terminal-2,Berth-6
PR00079,P002,Mumbai,India,South Asia,Terminal-3,Berth-7
PR00080,P003,Singapore,Singapore,Southeast Asia,Terminal-4,Berth-8
PR00081,P004,Dubai,UAE,Middle East,Terminal-1,Berth-9
PR00082,P005,Colombo,Sri Lanka,South Asia,Terminal-2,Berth-10
PR00083,P006,Rotterdam,Netherlands,Europe,Terminal-3,Berth-11
PR00084,P007,Los Angeles,USA,North America,Terminal-4,Berth-12
PR00085,P001,Chennai,India,South Asia,Terminal-1,Berth-13
PR00086,P002,Mumbai,India,South Asia,Terminal-2,Berth-14
PR00087,P003,Singapore,Singapore,Southeast Asia,Terminal-3,Berth-15
PR00088,P004,Dubai,UAE,Middle East,Terminal-4,Berth-16
PR00089,P005,Colombo,Sri Lanka,South Asia,Terminal-1,Berth-17
PR00090,P006,Rotterdam,Netherlands,Europe,Terminal-2,Berth-18
PR00091,P007,Los Angeles,USA,North America,Terminal-3,Berth-1
PR00092,P001,Chennai,India,South Asia,Terminal-4,Berth-2
PR00093,P002,Mumbai,India,South Asia,Terminal-1,Berth-3
PR00094,P003,Singapore,Singapore,Southeast Asia,Terminal-2,Berth-4
PR00095,P004,Dubai,UAE,Middle East,Terminal-3,Berth-5
PR00096,P005,Colombo,Sri Lanka,South Asia,Terminal-4,Berth-6
PR00097,P006,Rotterdam,Netherlands,Europe,Terminal-1,Berth-7
PR00098,P007,Los Angeles,USA,North America,Terminal-2,Berth-8
PR00099,P001,Chennai,India,South Asia,Terminal-3,Berth-9
PR00100,P002,Mumbai,India,South Asia,Terminal-4,Berth-10
PR00101,P003,Singapore,Singapore,Southeast Asia,Terminal-1,Berth-11
PR00102,P004,Dubai,UAE,Middle East,Terminal-2,Berth-12
PR00103,P005,Colombo,Sri Lanka,South Asia,Terminal-3,Berth-13
PR00104,P006,Rotterdam,Netherlands,Europe,Terminal-4,Berth-14
PR00105,P007,Los Angeles,USA,North America,Terminal-1,Berth-15
PR00106,P001,Chennai,India,South Asia,Terminal-2,Berth-16
PR00107,P002,Mumbai,India,South Asia,Terminal-3,Berth-17
PR00108,P003,Singapore,Singapore,Southeast Asia,Terminal-4,Berth-18
PR00109,P004,Dubai,UAE,Middle East,Terminal-1,Berth-1
PR00110,P005,Colombo,Sri Lanka,South Asia,Terminal-2,Berth-2
PR00111,P006,Rotterdam,Netherlands,Europe,Terminal-3,Berth-3
PR00112,P007,Los Angeles,USA,North America,Terminal-4,Berth-4
PR00113,P001,Chennai,India,South Asia,Terminal-1,Berth-5
PR00114,P002,Mumbai,India,South Asia,Terminal-2,Berth-6
PR00115,P003,Singapore,Singapore,Southeast Asia,Terminal-3,Berth-7
PR00116,P004,Dubai,UAE,Middle East,Terminal-4,Berth-8
PR00117,P005,Colombo,Sri Lanka,South Asia,Terminal-1,Berth-9
PR00118,P006,Rotterdam,Netherlands,Europe,Terminal-2,Berth-10
PR00119,P007,Los Angeles,USA,North America,Terminal-3,Berth-11
PR00120,P001,Chennai,India,South Asia,Terminal-4,Berth-12
PR00121,P002,Mumbai,India,South Asia,Terminal-1,Berth-13
PR00122,P003,Singapore,Singapore,Southeast Asia,Terminal-2,Berth-14
PR00123,P004,Dubai,UAE,Middle East,Terminal-3,Berth-15
PR00124,P005,Colombo,Sri Lanka,South Asia,Terminal-4,Berth-16
PR00125,P006,Rotterdam,Netherlands,Europe,Terminal-1,Berth-17
PR00126,P007,Los Angeles,USA,North America,Terminal-2,Berth-18
PR00127,P001,Chennai,India,South Asia,Terminal-3,Berth-1
PR00128,P002,Mumbai,India,South Asia,Terminal-4,Berth-2
PR00129,P003,Singapore,Singapore,Southeast Asia,Terminal-1,Berth-3
PR00130,P004,Dubai,UAE,Middle East,Terminal-2,Berth-4
PR00131,P005,Colombo,Sri Lanka,South Asia,Terminal-3,Berth-5
PR00132,P006,Rotterdam,Netherlands,Europe,Terminal-4,Berth-6
PR00133,P007,Los Angeles,USA,North America,Terminal-1,Berth-7
PR00134,P001,Chennai,India,South Asia,Terminal-2,Berth-8
PR00135,P002,Mumbai,India,South Asia,Terminal-3,Berth-9
PR00136,P003,Singapore,Singapore,Southeast Asia,Terminal-4,Berth-10
PR00137,P004,Dubai,UAE,Middle East,Terminal-1,Berth-11
PR00138,P005,Colombo,Sri Lanka,South Asia,Terminal-2,Berth-12
PR00139,P006,Rotterdam,Netherlands,Europe,Terminal-3,Berth-13
PR00140,P007,Los Angeles,USA,North America,Terminal-4,Berth-14
PR00141,P001,Chennai,India,South Asia,Terminal-1,Berth-15
PR00142,P002,Mumbai,India,South Asia,Terminal-2,Berth-16
PR00143,P003,Singapore,Singapore,Southeast Asia,Terminal-3,Berth-17
PR00144,P004,Dubai,UAE,Middle East,Terminal-4,Berth-18
PR00145,P005,Colombo,Sri Lanka,South Asia,Terminal-1,Berth-1
PR00146,P006,Rotterdam,Netherlands,Europe,Terminal-2,Berth-2
PR00147,P007,Los Angeles,USA,North America,Terminal-3,Berth-3
PR00148,P001,Chennai,India,South Asia,Terminal-4,Berth-4
PR00149,P002,Mumbai,India,South Asia,Terminal-1,Berth-5
PR00150,P003,Singapore,Singapore,Southeast Asia,Terminal-2,Berth-6
PR00151,P004,Dubai,UAE,Middle East,Terminal-3,Berth-7
PR00152,P005,Colombo,Sri Lanka,South Asia,Terminal-4,Berth-8
PR00153,P006,Rotterdam,Netherlands,Europe,Terminal-1,Berth-9
PR00154,P007,Los Angeles,USA,North America,Terminal-2,Berth-10
PR00155,P001,Chennai,India,South Asia,Terminal-3,Berth-11
PR00156,P002,Mumbai,India,South Asia,Terminal-4,Berth-12
PR00157,P003,Singapore,Singapore,Southeast Asia,Terminal-1,Berth-13
PR00158,P004,Dubai,UAE,Middle East,Terminal-2,Berth-14
PR00159,P005,Colombo,Sri Lanka,South Asia,Terminal-3,Berth-15
PR00160,P006,Rotterdam,Netherlands,Europe,Terminal-4,Berth-16
PR00161,P007,Los Angeles,USA,North America,Terminal-1,Berth-17
PR00162,P001,Chennai,India,South Asia,Terminal-2,Berth-18
PR00163,P002,Mumbai,India,South Asia,Terminal-3,Berth-1
PR00164,P003,Singapore,Singapore,Southeast Asia,Terminal-4,Berth-2
PR00165,P004,Dubai,UAE,Middle East,Terminal-1,Berth-3
PR00166,P005,Colombo,Sri Lanka,South Asia,Terminal-2,Berth-4
PR00167,P006,Rotterdam,Netherlands,Europe,Terminal-3,Berth-5
PR00168,P007,Los Angeles,USA,North America,Terminal-4,Berth-6
PR00169,P001,Chennai,India,South Asia,Terminal-1,Berth-7
PR00170,P002,Mumbai,India,South Asia,Terminal-2,Berth-8
PR00171,P003,Singapore,Singapore,Southeast Asia,Terminal-3,Berth-9
PR00172,P004,Dubai,UAE,Middle East,Terminal-4,Berth-10
PR00173,P005,Colombo,Sri Lanka,South Asia,Terminal-1,Berth-11
PR00174,P006,Rotterdam,Netherlands,Europe,Terminal-2,Berth-12
PR00175,P007,Los Angeles,USA,North America,Terminal-3,Berth-13
PR00176,P001,Chennai,India,South Asia,Terminal-4,Berth-14
PR00177,P002,Mumbai,India,South Asia,Terminal-1,Berth-15
PR00178,P003,Singapore,Singapore,Southeast Asia,Terminal-2,Berth-16
PR00179,P004,Dubai,UAE,Middle East,Terminal-3,Berth-17
PR00180,P005,Colombo,Sri Lanka,South Asia,Terminal-4,Berth-18
PR00181,P006,Rotterdam,Netherlands,Europe,Terminal-1,Berth-1
PR00182,P007,Los Angeles,USA,North America,Terminal-2,Berth-2
PR00183,P001,Chennai,India,South Asia,Terminal-3,Berth-3
PR00184,P002,Mumbai,India,South Asia,Terminal-4,Berth-4
PR00185,P003,Singapore,Singapore,Southeast Asia,Terminal-1,Berth-5
PR00186,P004,Dubai,UAE,Middle East,Terminal-2,Berth-6
PR00187,P005,Colombo,Sri Lanka,South Asia,Terminal-3,Berth-7
PR00188,P006,Rotterdam,Netherlands,Europe,Terminal-4,Berth-8
PR00189,P007,Los Angeles,USA,North America,Terminal-1,Berth-9
PR00190,P001,Chennai,India,South Asia,Terminal-2,Berth-10
PR00191,P002,Mumbai,India,South Asia,Terminal-3,Berth-11
PR00192,P003,Singapore,Singapore,Southeast Asia,Terminal-4,Berth-12
PR00193,P004,Dubai,UAE,Middle East,Terminal-1,Berth-13
PR00194,P005,Colombo,Sri Lanka,South Asia,Terminal-2,Berth-14
PR00195,P006,Rotterdam,Netherlands,Europe,Terminal-3,Berth-15
PR00196,P007,Los Angeles,USA,North America,Terminal-4,Berth-16
PR00197,P001,Chennai,India,South Asia,Terminal-1,Berth-17
PR00198,P002,Mumbai,India,South Asia,Terminal-2,Berth-18
PR00199,P003,Singapore,Singapore,Southeast Asia,Terminal-3,Berth-1
PR00200,P004,Dubai,UAE,Middle East,Terminal-4,Berth-2
PR00201,P005,Colombo,Sri Lanka,South Asia,Terminal-1,Berth-3
PR00202,P006,Rotterdam,Netherlands,Europe,Terminal-2,Berth-4
PR00203,P007,Los Angeles,USA,North America,Terminal-3,Berth-5
PR00204,P001,Chennai,India,South Asia,Terminal-4,Berth-6
PR00205,P002,Mumbai,India,South Asia,Terminal-1,Berth-7
PR00206,P003,Singapore,Singapore,Southeast Asia,Terminal-2,Berth-8
PR00207,P004,Dubai,UAE,Middle East,Terminal-3,Berth-9
PR00208,P005,Colombo,Sri Lanka,South Asia,Terminal-4,Berth-10
PR00209,P006,Rotterdam,Netherlands,Europe,Terminal-1,Berth-11
PR00210,P007,Los Angeles,USA,North America,Terminal-2,Berth-12
PR00211,P001,Chennai,India,South Asia,Terminal-3,Berth-13
PR00212,P002,Mumbai,India,South Asia,Terminal-4,Berth-14
PR00213,P003,Singapore,Singapore,Southeast Asia,Terminal-1,Berth-15
PR00214,P004,Dubai,UAE,Middle East,Terminal-2,Berth-16
PR00215,P005,Colombo,Sri Lanka,South Asia,Terminal-3,Berth-17
PR00216,P006,Rotterdam,Netherlands,Europe,Terminal-4,Berth-18
PR00217,P007,Los Angeles,USA,North America,Terminal-1,Berth-1
PR00218,P001,Chennai,India,South Asia,Terminal-2,Berth-2
PR00219,P002,Mumbai,India,South Asia,Terminal-3,Berth-3
PR00220,P003,Singapore,Singapore,Southeast Asia,Terminal-4,Berth-4
PR00221,P004,Dubai,UAE,Middle East,Terminal-1,Berth-5
PR00222,P005,Colombo,Sri Lanka,South Asia,Terminal-2,Berth-6
PR00223,P006,Rotterdam,Netherlands,Europe,Terminal-3,Berth-7
PR00224,P007,Los Angeles,USA,North America,Terminal-4,Berth-8
PR00225,P001,Chennai,India,South Asia,Terminal-1,Berth-9
PR00226,P002,Mumbai,India,South Asia,Terminal-2,Berth-10
PR00227,P003,Singapore,Singapore,Southeast Asia,Terminal-3,Berth-11
PR00228,P004,Dubai,UAE,Middle East,Terminal-4,Berth-12
PR00229,P005,Colombo,Sri Lanka,South Asia,Terminal-1,Berth-13
PR00230,P006,Rotterdam,Netherlands,Europe,Terminal-2,Berth-14
PR00231,P007,Los Angeles,USA,North America,Terminal-3,Berth-15
PR00232,P001,Chennai,India,South Asia,Terminal-4,Berth-16
PR00233,P002,Mumbai,India,South Asia,Terminal-1,Berth-17
PR00234,P003,Singapore,Singapore,Southeast Asia,Terminal-2,Berth-18
PR00235,P004,Dubai,UAE,Middle East,Terminal-3,Berth-1
PR00236,P005,Colombo,Sri Lanka,South Asia,Terminal-4,Berth-2
PR00237,P006,Rotterdam,Netherlands,Europe,Terminal-1,Berth-3
PR00238,P007,Los Angeles,USA,North America,Terminal-2,Berth-4
PR00239,P001,Chennai,India,South Asia,Terminal-3,Berth-5
PR00240,P002,Mumbai,India,South Asia,Terminal-4,Berth-6
PR00241,P003,Singapore,Singapore,Southeast Asia,Terminal-1,Berth-7
PR00242,P004,Dubai,UAE,Middle East,Terminal-2,Berth-8
PR00243,P005,Colombo,Sri Lanka,South Asia,Terminal-3,Berth-9
PR00244,P006,Rotterdam,Netherlands,Europe,Terminal-4,Berth-10
PR00245,P007,Los Angeles,USA,North America,Terminal-1,Berth-11
PR00246,P001,Chennai,India,South Asia,Terminal-2,Berth-12
PR00247,P002,Mumbai,India,South Asia,Terminal-3,Berth-13
PR00248,P003,Singapore,Singapore,Southeast Asia,Terminal-4,Berth-14
PR00249,P004,Dubai,UAE,Middle East,Terminal-1,Berth-15
PR00250,P005,Colombo,Sri Lanka,South Asia,Terminal-2,Berth-16
PR00251,P006,Rotterdam,Netherlands,Europe,Terminal-3,Berth-17
PR00252,P007,Los Angeles,USA,North America,Terminal-4,Berth-18
PR00253,P001,Chennai,India,South Asia,Terminal-1,Berth-1
PR00254,P002,Mumbai,India,South Asia,Terminal-2,Berth-2
PR00255,P003,Singapore,Singapore,Southeast Asia,Terminal-3,Berth-3
PR00256,P004,Dubai,UAE,Middle East,Terminal-4,Berth-4
PR00257,P005,Colombo,Sri Lanka,South Asia,Terminal-1,Berth-5
PR00258,P006,Rotterdam,Netherlands,Europe,Terminal-2,Berth-6
PR00259,P007,Los Angeles,USA,North America,Terminal-3,Berth-7
PR00260,P001,Chennai,India,South Asia,Terminal-4,Berth-8
PR00261,P002,Mumbai,India,South Asia,Terminal-1,Berth-9
PR00262,P003,Singapore,Singapore,Southeast Asia,Terminal-2,Berth-10
PR00263,P004,Dubai,UAE,Middle East,Terminal-3,Berth-11
PR00264,P005,Colombo,Sri Lanka,South Asia,Terminal-4,Berth-12
PR00265,P006,Rotterdam,Netherlands,Europe,Terminal-1,Berth-13
PR00266,P007,Los Angeles,USA,North America,Terminal-2,Berth-14
PR00267,P001,Chennai,India,South Asia,Terminal-3,Berth-15
PR00268,P002,Mumbai,India,South Asia,Terminal-4,Berth-16
PR00269,P003,Singapore,Singapore,Southeast Asia,Terminal-1,Berth-17
PR00270,P004,Dubai,UAE,Middle East,Terminal-2,Berth-18
PR00271,P005,Colombo,Sri Lanka,South Asia,Terminal-3,Berth-1
PR00272,P006,Rotterdam,Netherlands,Europe,Terminal-4,Berth-2
PR00273,P007,Los Angeles,USA,North America,Terminal-1,Berth-3
PR00274,P001,Chennai,India,South Asia,Terminal-2,Berth-4
PR00275,P002,Mumbai,India,South Asia,Terminal-3,Berth-5
PR00276,P003,Singapore,Singapore,Southeast Asia,Terminal-4,Berth-6
PR00277,P004,Dubai,UAE,Middle East,Terminal-1,Berth-7
PR00278,P005,Colombo,Sri Lanka,South Asia,Terminal-2,Berth-8
PR00279,P006,Rotterdam,Netherlands,Europe,Terminal-3,Berth-9
PR00280,P007,Los Angeles,USA,North America,Terminal-4,Berth-10
PR00281,P001,Chennai,India,South Asia,Terminal-1,Berth-11
PR00282,P002,Mumbai,India,South Asia,Terminal-2,Berth-12
PR00283,P003,Singapore,Singapore,Southeast Asia,Terminal-3,Berth-13
PR00284,P004,Dubai,UAE,Middle East,Terminal-4,Berth-14
PR00285,P005,Colombo,Sri Lanka,South Asia,Terminal-1,Berth-15
PR00286,P006,Rotterdam,Netherlands,Europe,Terminal-2,Berth-16
PR00287,P007,Los Angeles,USA,North America,Terminal-3,Berth-17
PR00288,P001,Chennai,India,South Asia,Terminal-4,Berth-18
PR00289,P002,Mumbai,India,South Asia,Terminal-1,Berth-1
PR00290,P003,Singapore,Singapore,Southeast Asia,Terminal-2,Berth-2
PR00291,P004,Dubai,UAE,Middle East,Terminal-3,Berth-3
PR00292,P005,Colombo,Sri Lanka,South Asia,Terminal-4,Berth-4
PR00293,P006,Rotterdam,Netherlands,Europe,Terminal-1,Berth-5
PR00294,P007,Los Angeles,USA,North America,Terminal-2,Berth-6
PR00295,P001,Chennai,India,South Asia,Terminal-3,Berth-7
PR00296,P002,Mumbai,India,South Asia,Terminal-4,Berth-8
PR00297,P003,Singapore,Singapore,Southeast Asia,Terminal-1,Berth-9
PR00298,P004,Dubai,UAE,Middle East,Terminal-2,Berth-10
PR00299,P005,Colombo,Sri Lanka,South Asia,Terminal-3,Berth-11
PR00300,P006,Rotterdam,Netherlands,Europe,Terminal-4,Berth-12
PR00301,P007,Los Angeles,USA,North America,Terminal-1,Berth-13
PR00302,P001,Chennai,India,South Asia,Terminal-2,Berth-14
PR00303,P002,Mumbai,India,South Asia,Terminal-3,Berth-15
PR00304,P003,Singapore,Singapore,Southeast Asia,Terminal-4,Berth-16
PR00305,P004,Dubai,UAE,Middle East,Terminal-1,Berth-17
PR00306,P005,Colombo,Sri Lanka,South Asia,Terminal-2,Berth-18
PR00307,P006,Rotterdam,Netherlands,Europe,Terminal-3,Berth-1
PR00308,P007,Los Angeles,USA,North America,Terminal-4,Berth-2
PR00309,P001,Chennai,India,South Asia,Terminal-1,Berth-3
PR00310,P002,Mumbai,India,South Asia,Terminal-2,Berth-4
PR00311,P003,Singapore,Singapore,Southeast Asia,Terminal-3,Berth-5
PR00312,P004,Dubai,UAE,Middle East,Terminal-4,Berth-6
PR00313,P005,Colombo,Sri Lanka,South Asia,Terminal-1,Berth-7
PR00314,P006,Rotterdam,Netherlands,Europe,Terminal-2,Berth-8
PR00315,P007,Los Angeles,USA,North America,Terminal-3,Berth-9
PR00316,P001,Chennai,India,South Asia,Terminal-4,Berth-10
PR00317,P002,Mumbai,India,South Asia,Terminal-1,Berth-11
PR00318,P003,Singapore,Singapore,Southeast Asia,Terminal-2,Berth-12
PR00319,P004,Dubai,UAE,Middle East,Terminal-3,Berth-13
PR00320,P005,Colombo,Sri Lanka,South Asia,Terminal-4,Berth-14
PR00321,P006,Rotterdam,Netherlands,Europe,Terminal-1,Berth-15
PR00322,P007,Los Angeles,USA,North America,Terminal-2,Berth-16
PR00323,P001,Chennai,India,South Asia,Terminal-3,Berth-17
PR00324,P002,Mumbai,India,South Asia,Terminal-4,Berth-18
PR00325,P003,Singapore,Singapore,Southeast Asia,Terminal-1,Berth-1
PR00326,P004,Dubai,UAE,Middle East,Terminal-2,Berth-2
PR00327,P005,Colombo,Sri Lanka,South Asia,Terminal-3,Berth-3
PR00328,P006,Rotterdam,Netherlands,Europe,Terminal-4,Berth-4
PR00329,P007,Los Angeles,USA,North America,Terminal-1,Berth-5
PR00330,P001,Chennai,India,South Asia,Terminal-2,Berth-6
PR00331,P002,Mumbai,India,South Asia,Terminal-3,Berth-7
PR00332,P003,Singapore,Singapore,Southeast Asia,Terminal-4,Berth-8
PR00333,P004,Dubai,UAE,Middle East,Terminal-1,Berth-9
PR00334,P005,Colombo,Sri Lanka,South Asia,Terminal-2,Berth-10
PR00335,P006,Rotterdam,Netherlands,Europe,Terminal-3,Berth-11
PR00336,P007,Los Angeles,USA,North America,Terminal-4,Berth-12
PR00337,P001,Chennai,India,South Asia,Terminal-1,Berth-13
PR00338,P002,Mumbai,India,South Asia,Terminal-2,Berth-14
PR00339,P003,Singapore,Singapore,Southeast Asia,Terminal-3,Berth-15
PR00340,P004,Dubai,UAE,Middle East,Terminal-4,Berth-16
PR00341,P005,Colombo,Sri Lanka,South Asia,Terminal-1,Berth-17
PR00342,P006,Rotterdam,Netherlands,Europe,Terminal-2,Berth-18
PR00343,P007,Los Angeles,USA,North America,Terminal-3,Berth-1
PR00344,P001,Chennai,India,South Asia,Terminal-4,Berth-2
PR00345,P002,Mumbai,India,South Asia,Terminal-1,Berth-3
PR00346,P003,Singapore,Singapore,Southeast Asia,Terminal-2,Berth-4
PR00347,P004,Dubai,UAE,Middle East,Terminal-3,Berth-5
PR00348,P005,Colombo,Sri Lanka,South Asia,Terminal-4,Berth-6
PR00349,P006,Rotterdam,Netherlands,Europe,Terminal-1,Berth-7
PR00350,P007,Los Angeles,USA,North America,Terminal-2,Berth-8
PR00351,P001,Chennai,India,South Asia,Terminal-3,Berth-9
PR00352,P002,Mumbai,India,South Asia,Terminal-4,Berth-10
PR00353,P003,Singapore,Singapore,Southeast Asia,Terminal-1,Berth-11
PR00354,P004,Dubai,UAE,Middle East,Terminal-2,Berth-12
PR00355,P005,Colombo,Sri Lanka,South Asia,Terminal-3,Berth-13
PR00356,P006,Rotterdam,Netherlands,Europe,Terminal-4,Berth-14
PR00357,P007,Los Angeles,USA,North America,Terminal-1,Berth-15
PR00358,P001,Chennai,India,South Asia,Terminal-2,Berth-16
PR00359,P002,Mumbai,India,South Asia,Terminal-3,Berth-17
PR00360,P003,Singapore,Singapore,Southeast Asia,Terminal-4,Berth-18
PR00361,P004,Dubai,UAE,Middle East,Terminal-1,Berth-1
PR00362,P005,Colombo,Sri Lanka,South Asia,Terminal-2,Berth-2
PR00363,P006,Rotterdam,Netherlands,Europe,Terminal-3,Berth-3
PR00364,P007,Los Angeles,USA,North America,Terminal-4,Berth-4
PR00365,P001,Chennai,India,South Asia,Terminal-1,Berth-5
PR00366,P002,Mumbai,India,South Asia,Terminal-2,Berth-6
PR00367,P003,Singapore,Singapore,Southeast Asia,Terminal-3,Berth-7
PR00368,P004,Dubai,UAE,Middle East,Terminal-4,Berth-8
PR00369,P005,Colombo,Sri Lanka,South Asia,Terminal-1,Berth-9
PR00370,P006,Rotterdam,Netherlands,Europe,Terminal-2,Berth-10
PR00371,P007,Los Angeles,USA,North America,Terminal-3,Berth-11
PR00372,P001,Chennai,India,South Asia,Terminal-4,Berth-12
PR00373,P002,Mumbai,India,South Asia,Terminal-1,Berth-13
PR00374,P003,Singapore,Singapore,Southeast Asia,Terminal-2,Berth-14
PR00375,P004,Dubai,UAE,Middle East,Terminal-3,Berth-15
PR00376,P005,Colombo,Sri Lanka,South Asia,Terminal-4,Berth-16
PR00377,P006,Rotterdam,Netherlands,Europe,Terminal-1,Berth-17
PR00378,P007,Los Angeles,USA,North America,Terminal-2,Berth-18
PR00379,P001,Chennai,India,South Asia,Terminal-3,Berth-1
PR00380,P002,Mumbai,India,South Asia,Terminal-4,Berth-2
PR00381,P003,Singapore,Singapore,Southeast Asia,Terminal-1,Berth-3
PR00382,P004,Dubai,UAE,Middle East,Terminal-2,Berth-4
PR00383,P005,Colombo,Sri Lanka,South Asia,Terminal-3,Berth-5
PR00384,P006,Rotterdam,Netherlands,Europe,Terminal-4,Berth-6
PR00385,P007,Los Angeles,USA,North America,Terminal-1,Berth-7
PR00386,P001,Chennai,India,South Asia,Terminal-2,Berth-8
PR00387,P002,Mumbai,India,South Asia,Terminal-3,Berth-9
